flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,merged_comparison.csv,qwen3-max.csv,deepseek-reasoner.csv,same?,final_category
--omit-default-ctors,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,,Ignition,yes,Ignition
--opt,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--optimize-for-size,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--optimize-gc-for-battery,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--optimize-maglev-optimizes-to-turbofan,Maglev,Turbofan,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Maglev,,Turbofan,no,"Maglev, Turbofan, Compiler/Tier Manager, Maglev, Compiler/Tier Manager, Maglev, , Turbofan"
--optimize-on-next-call-optimizes-to-maglev,Maglev,Maglev,Maglev,Maglev,Compiler/Tier Manager,Maglev,,Maglev,no,"Maglev, Maglev, Maglev, Maglev, Compiler/Tier Manager, Maglev, , Maglev"
--osr-from-maglev,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Maglev,,Compiler/Tier Manager,no,"Maglev, Compiler/Tier Manager, Compiler/Tier Manager, Maglev, Compiler/Tier Manager, Maglev, , Compiler/Tier Manager"
--osr-from-maglev-interrupt-scale-factor,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Maglev,,Compiler/Tier Manager,no,"Maglev, Compiler/Tier Manager, Compiler/Tier Manager, Maglev, Compiler/Tier Manager, Maglev, , Compiler/Tier Manager"
--osr-to-tierup,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--page-pool-timeout,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--page-promotion,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--page-promotion-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--parallel-compaction,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--parallel-compile-tasks-for-eager-toplevel,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--parallel-compile-tasks-for-lazy,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--parallel-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--parallel-pause-for-gc-in-background,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--parallel-pointer-update,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--parallel-reclaim-unmodified-wrappers,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--parallel-scavenge,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--parallel-weak-ref-clearing,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--parse-only,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Language mode/features,no,"Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, , Language mode/features"
--parser-ablation-amount,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--partial-constant-pool,Generic,Generic,,Generic,Data,Generic,,Data,no,"Generic, Generic, , Generic, Data, Generic, , Data"
--perf-basic-prof,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--perf-basic-prof-only-functions,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--perf-basic-prof-path,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Data, Trace/Debug, , Generic"
--perf-prof,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--perf-prof-annotate-wasm,Trace/Debug,Print,Wasm,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Wasm, Trace/Debug, Debug, Trace/Debug, , Generic"
--perf-prof-delete-file,Trace/Debug,Testing/Fuzzing,Trace/Debug,Trace/Debug,Testing/Fuzzing,Trace/Debug,,Generic,no,"Trace/Debug, Testing/Fuzzing, Trace/Debug, Trace/Debug, Testing/Fuzzing, Trace/Debug, , Generic"
--perf-prof-path,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Data, Trace/Debug, , Generic"
--perf-prof-unwinding-info,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--perfetto-code-logger,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--precise-object-pinning,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--preconfigured-old-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--predictable,Testing/Fuzzing,Generic,Generic,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Generic,no,"Testing/Fuzzing, Generic, Generic, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Generic"
--predictable-gc-schedule,Testing/Fuzzing,Generic,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,GC/Memory,no,"Testing/Fuzzing, Generic, GC/Memory, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , GC/Memory"
--preparser-ablation-amount,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--print-all-code,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-all-exceptions,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,,Print,no,"Trace/Debug, Print, Print, Trace/Debug, Print, Trace/Debug, , Print"
--print-ast,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-break-location,Trace/Debug,Print,Trace/Debug,Trace/Debug,Print,Trace/Debug,,Print,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Print, Trace/Debug, , Print"
--print-builtin-code,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-builtin-code-filter,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-builtin-size,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-bytecode,Ignition,Ignition,Print,Ignition,Print,Ignition,,Print,no,"Ignition, Ignition, Print, Ignition, Print, Ignition, , Print"
--print-bytecode-filter,Ignition,Ignition,Print,Ignition,Print,Ignition,,Print,no,"Ignition, Ignition, Print, Ignition, Print, Ignition, , Print"
--print-code,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-code-verbose,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-deopt-stress,Testing/Fuzzing,Testing/Fuzzing,Print,Testing/Fuzzing,Print,Testing/Fuzzing,,Print,no,"Testing/Fuzzing, Testing/Fuzzing, Print, Testing/Fuzzing, Print, Testing/Fuzzing, , Print"
--print-feature-flags-json,Generic,Print,Print,Generic,Print,Generic,,Print,no,"Generic, Print, Print, Generic, Print, Generic, , Print"
--print-flag-values,Generic,Print,Print,Generic,Print,Generic,,Print,no,"Generic, Print, Print, Generic, Print, Generic, , Print"
--print-global-handles,GC/Memory,Print,Print,GC/Memory,Print,GC/Memory,,Trace/Debug,no,"GC/Memory, Print, Print, GC/Memory, Print, GC/Memory, , Trace/Debug"
--print-handles,GC/Memory,Print,Print,GC/Memory,Print,GC/Memory,,Trace/Debug,no,"GC/Memory, Print, Print, GC/Memory, Print, GC/Memory, , Trace/Debug"
--print-maglev-code,Maglev,Maglev,Print,Maglev,Print,Maglev,,Print,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Print"
--print-maglev-deopt-verbose,Maglev,Maglev,Print,Maglev,Print,Maglev,,Print,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Print"
--print-maglev-graph,Maglev,Maglev,Print,Maglev,Print,Maglev,,Print,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Print"
--print-maglev-graphs,Maglev,Maglev,Print,Maglev,Print,Maglev,,Print,no,"Maglev, Maglev, Print, Maglev, Print, Maglev, , Print"
--print-opt-code,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-opt-code-filter,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-opt-source,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-regexp-bytecode,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-regexp-code,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-scopes,Print,Print,Print,Print,Print,Print,,Print,yes,Print
--print-turbolev-frontend,Turbolev,Turbolev,Print,Turbolev,Print,Turbolev,,Print,no,"Turbolev, Turbolev, Print, Turbolev, Print, Turbolev, , Print"
--print-wasm-code,Wasm,Wasm,Wasm,Wasm,Print,Wasm,,Print,no,"Wasm, Wasm, Wasm, Wasm, Print, Wasm, , Print"
--print-wasm-code-function-index,Wasm,Wasm,Wasm,Wasm,Print,Wasm,,Print,no,"Wasm, Wasm, Wasm, Wasm, Print, Wasm, , Print"
--print-wasm-offheap-memory-size,Wasm,Wasm,Wasm,Wasm,Print,Wasm,,Print,no,"Wasm, Wasm, Wasm, Wasm, Print, Wasm, , Print"
--print-wasm-stub-code,Wasm,Wasm,Wasm,Wasm,Print,Wasm,,Print,no,"Wasm, Wasm, Wasm, Wasm, Print, Wasm, , Print"
--prof,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--prof-browser-mode,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--prof-cpp,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--prof-include-idle,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--prof-sampling-interval,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--profile-deserialization,Trace/Debug,Print,Trace/Debug,Trace/Debug,Print,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Print, Trace/Debug, , Trace/Debug"
--profile-guided-optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Compiler/Tier Manager,no,"Optimization, Optimization, Optimization, Optimization, Optimization, Optimization, , Compiler/Tier Manager"
--profile-guided-optimization-for-empty-feedback-vector,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Compiler/Tier Manager,no,"Optimization, Optimization, Optimization, Optimization, Optimization, Optimization, , Compiler/Tier Manager"
--profile-heap-snapshot,GC/Memory,Print,Trace/Debug,GC/Memory,Print,GC/Memory,,Trace/Debug,no,"GC/Memory, Print, Trace/Debug, GC/Memory, Print, GC/Memory, , Trace/Debug"
--proto-assign-seq-opt,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--random-gc-interval,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,,GC/Memory,no,"GC/Memory, Testing/Fuzzing, GC/Memory, GC/Memory, Testing/Fuzzing, GC/Memory, , GC/Memory"
--random-seed,Testing/Fuzzing,Generic,Generic,Testing/Fuzzing,Data,Testing/Fuzzing,,Data,no,"Testing/Fuzzing, Generic, Generic, Testing/Fuzzing, Data, Testing/Fuzzing, , Data"
--randomize-all-allocations,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,,GC/Memory,no,"GC/Memory, Testing/Fuzzing, GC/Memory, GC/Memory, Testing/Fuzzing, GC/Memory, , GC/Memory"
--rcs,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,,Generic,no,"Trace/Debug, Print, Print, Trace/Debug, Print, Trace/Debug, , Generic"
--rcs-cpu-time,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,,Generic,no,"Trace/Debug, Print, Print, Trace/Debug, Print, Trace/Debug, , Generic"
--reclaim-unmodified-wrappers,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--redirect-code-traces,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Generic"
--redirect-code-traces-to,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Data, Trace/Debug, , Generic"
--regexp-assemble-from-bytecode,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,Optimization,no,"Compiler/Tier Manager, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , Optimization"
--regexp-backtracks-before-fallback,Compiler/Tier Manager,Language mode/features,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,Optimization,no,"Compiler/Tier Manager, Language mode/features, Optimization, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , Optimization"
--regexp-interpret-all,Compiler/Tier Manager,Optimization,Optimization,Compiler/Tier Manager,Testing/Fuzzing,Compiler/Tier Manager,,Optimization,no,"Compiler/Tier Manager, Optimization, Optimization, Compiler/Tier Manager, Testing/Fuzzing, Compiler/Tier Manager, , Optimization"
--regexp-optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--regexp-peephole-optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--regexp-possessive-quantifier,Testing/Fuzzing,Testing/Fuzzing,Language mode/features,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Optimization,no,"Testing/Fuzzing, Testing/Fuzzing, Language mode/features, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Optimization"
--regexp-results-cache,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--regexp-simd,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--regexp-tier-up,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,Optimization,no,"Compiler/Tier Manager, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , Optimization"
--regexp-tier-up-ticks,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,Optimization,no,"Compiler/Tier Manager, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , Optimization"
--rehash-snapshot,Data,Compiler/Tier Manager,Generic,Data,Testing/Fuzzing,Data,,Data,no,"Data, Compiler/Tier Manager, Generic, Data, Testing/Fuzzing, Data, , Data"
--reopt-after-lazy-deopts,Optimization,Compiler/Tier Manager,Optimization,Optimization,Compiler/Tier Manager,Optimization,,Optimization,no,"Optimization, Compiler/Tier Manager, Optimization, Optimization, Compiler/Tier Manager, Optimization, , Optimization"
--reorder-builtins,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,Turbofan,no,"Compiler/Tier Manager, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , Turbofan"
--reserve-contiguous-compressed-read-only-space,GC/Memory,GC/Memory,GC/Memory,GC/Memory,Data,GC/Memory,,GC/Memory,no,"GC/Memory, GC/Memory, GC/Memory, GC/Memory, Data, GC/Memory, , GC/Memory"
--reserve-inline-budget-scale-factor,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Optimization, Turbofan, , Turbofan"
--resize-large-object,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--retain-maps-for-n-gc,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--reuse-scope-infos,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,Optimization,no,"Compiler/Tier Manager, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , Optimization"
--runtime-call-stats,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,,Generic,no,"Trace/Debug, Print, Print, Trace/Debug, Print, Trace/Debug, , Generic"
--sampling-heap-profiler-suppress-randomness,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,Trace/Debug,no,"GC/Memory, Testing/Fuzzing, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , Trace/Debug"
--sandbox-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--sandbox-testing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--scavenger-chaos-mode,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,Testing/Fuzzing,no,"GC/Memory, Testing/Fuzzing, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , Testing/Fuzzing"
--scavenger-chaos-mode-threshold,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,Testing/Fuzzing,no,"GC/Memory, GC/Memory, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , Testing/Fuzzing"
--scavenger-conservative-object-pinning,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--scavenger-precise-object-pinning,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--scavenger-promote-quarantined-pages,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--scavenger-updates-allocation-limit,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--script-context-cells,Data,Optimization,Optimization,Data,Optimization,Data,,Optimization,no,"Data, Optimization, Optimization, Data, Optimization, Data, , Optimization"
--script-streaming,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Ignition,no,"Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, Compiler/Tier Manager, , Ignition"
--semi-space-growth-factor,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--serialization-statistics,Trace/Debug,Compiler/Tier Manager,Print,Trace/Debug,Print,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Print, Trace/Debug, Print, Trace/Debug, , Trace/Debug"
--shared-heap,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--shared-string-table,Data,Data,Data,Data,Data,Data,,Data,yes,Data
--shared-strings,Data,Data,Data,Data,Data,Data,,Data,yes,Data
--short-builtin-calls,Compiler/Tier Manager,Optimization,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,,Optimization,no,"Compiler/Tier Manager, Optimization, Optimization, Compiler/Tier Manager, Optimization, Compiler/Tier Manager, , Optimization"
--shortcut-strings-with-stack,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--sim-arm64-optional-features,Generic,Testing/Fuzzing,,Generic,Data,Generic,,Data,no,"Generic, Testing/Fuzzing, , Generic, Data, Generic, , Data"
--single-generation,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--single-threaded,Generic,Generic,Generic,Generic,Generic,Generic,,Compiler/Tier Manager,no,"Generic, Generic, Generic, Generic, Generic, Generic, , Compiler/Tier Manager"
